date,cash,position_value,equity,open_tickers,open_count
2025-03-13,5497.24128646858,4502.75871353142,10000.0,VRSK,1
2025-03-14,7785.576826142753,2664.6990452103887,10450.275871353142,ISRG,1
2025-03-17,5681.493241743625,5035.252534130555,10716.74577587418,BSX,1
2025-03-18,5810.820718223369,5409.450311063867,11220.271029287236,GL,1
2025-03-19,6331.431097937954,5429.78496245567,11761.216060393625,GL,1
2025-03-20,6335.535863533154,5968.658693106037,12304.194556639191,GL,1
2025-03-21,5988.148172853295,5719.180514475292,11707.328687328587,BR,1
2025-03-24,6756.094948273369,5523.151790502749,12279.246738776117,MCK,1
2025-03-25,5963.155434346252,5763.776125379591,11726.931559725843,GL,1
2025-03-26,6402.436501076581,5900.872671187222,12303.309172263804,APTV,1
2025-03-27,6004.268246773935,5708.953658371146,11713.221905145081,VLTO,1
2025-03-28,5768.785327389889,5373.541211918078,11142.326539307967,GL,1
2025-03-31,5860.21283793933,5819.467822560447,11679.680660499776,LUV,1
2025-04-01,5895.427717053038,5202.306161190695,11097.733878243733,GL,1
2025-04-02,6088.152816461583,5529.81167790122,11617.964494362803,GL,1
2025-04-03,5841.607327206787,5223.375999365894,11064.983326572681,AON,1
2025-04-04,5323.244480808635,5219.401245827457,10542.645726636092,LEN,1
2025-04-07,5935.034389155326,4085.67121289802,10020.705602053346,PODD,1
2025-04-08,4889.049925899661,4723.0885548638835,9612.138480763544,UHS,1
2025-04-09,5464.351308471239,4620.0960277786935,10084.447336249932,GL,1
2025-04-10,5113.770293617461,4508.667439854602,9622.437733472063,AJG,1
2025-04-11,5876.800931971117,4196.503545486407,10073.304477457525,AON,1
2025-04-14,5701.919146952729,4791.035685053437,10492.954832006166,PODD,1
2025-04-15,6161.672085670884,4810.386314840626,10972.05840051151,PODD,1
2025-04-16,5795.934210675705,4695.085558351742,10491.019769027447,PODD,1
2025-04-17,5354.35164303421,4667.159570158063,10021.511213192272,VRTX,1
2025-04-21,5449.316530268862,4105.478725907605,9554.795256176467,VMC,1
2025-04-22,5333.336446428805,4632.006682338423,9965.343128767228,BSX,1
2025-04-23,5297.489017854874,5131.054779146198,10428.543797001072,MTCH,1
2025-04-24,5988.207563161292,4953.4417117544,10941.649274915691,GL,1
2025-04-25,718.5485274068787,10360.660231603648,11079.208759010526,"GL,TTWO",2
2025-04-28,6173.802135419968,5537.12321755471,11710.925352974678,VRSK,1
2025-04-29,6534.908059677269,5729.72961505288,12264.63767473015,GL,1
2025-04-30,6510.570483181176,5181.0942300436855,11691.664713224862,PODD,1
2025-05-01,6514.463297234537,5695.310838994694,12209.77413622923,CSGP,1
2025-05-02,6921.948997563165,5857.356222565538,12779.305220128703,GL,1
2025-05-05,7380.484560663976,4813.085037208173,12193.569597872149,PODD,1
2025-05-06,1356.7488724915984,11031.801428081691,12388.55030057329,"PODD,VRSK",2
2025-05-07,7121.811274986676,6396.094647283937,13517.905922270613,BSX,1
2025-05-08,6699.455265000583,6178.841192541637,12878.29645754222,TRMB,1
2025-05-09,7043.285688172152,5217.126650115905,12260.412338288057,VRSK,1
2025-05-12,8750.104513591392,2988.5951596850746,11738.699673276467,PODD,1
2025-05-13,6470.464452577408,5567.0947366675655,12037.559189244974,DASH,1
2025-05-14,6502.47041833187,6091.798244579861,12594.26866291173,PODD,1
2025-05-15,290.8222252468122,12850.562075508147,13141.384300754959,"PODD,VLTO",2
2025-05-16,7418.231824905527,6475.385696321658,13893.617521227185,VRSK,1
2025-05-19,7538.701380085639,7002.4547107737135,14541.156090859353,GL,1
2025-05-20,1628.3742418410902,12617.84227466373,14246.21651650482,"GL,PODD",2
2025-05-21,7790.635647334,6641.307686272439,14431.94333360644,GEV,1
2025-05-22,7438.534134265217,6329.278430713979,13767.812564979196,VRSK,1
2025-05-23,641.7572226038028,13390.757452324873,14032.514674928676,"GL,VRSK",2
2025-05-27,7825.529701217473,7571.352319534962,15396.882020752435,CBRE,1
2025-05-28,8443.149193245048,7710.868059460884,16154.017252705933,GEV,1
2025-05-29,7866.571022291725,7516.35942446812,15382.930446759845,VLTO,1
2025-05-30,9494.39181621953,5136.902688093504,14631.294504313035,AXON,1
2025-06-02,7641.016613669524,7503.968159452861,15144.984773122385,GL,1
2025-06-03,7381.812798007015,7012.775159170085,14394.5879571771,GL,1
2025-06-04,8597.29368055661,5096.016760703483,13693.310441260091,AXON,1
2025-06-05,7311.258556660211,6891.65356067023,14202.912117330441,BSX,1
2025-06-06,7323.733650820752,6190.0131104426655,13513.746761263417,VRSK,1
2025-06-09,6584.10532961321,6310.640120605942,12894.745450219152,GL,1
